title,artist,track_image,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Var Olmak,Toprak Özcan,https://cdnimg.melon.co.kr/cm2/album/images/115/61/312/11561312_20240807111702_500.jpg/melon/resize/120/quality/80/optimize,5gTwQv9KQqwdTcBixj2EsT,0.432,0.772,-8.78,0.0302,0.333,0.822,0.264,0.566,145.503,해외 록메탈
F.W.M,The Reasn,https://cdnimg.melon.co.kr/cm2/album/images/115/47/739/11547739_20240722181957_500.jpg/melon/resize/120/quality/80/optimize,1NWFMwdTky1A7SYvW71B9P,0.685,0.559,-6.37,0.118,0.63,0.0,0.147,0.486,134.041,해외 RBSOUL
Say Hello,Rosie Thomas,https://cdnimg.melon.co.kr/cm/album/images/005/28/351/528351_500.jpg/melon/resize/120/quality/80/optimize,56VsLiv0mn94p9Q9JaGy96,0.65,0.286,-8.615,0.0361,0.895,1.69e-05,0.371,0.388,108.647,해외 포크블루스컨트리
Mahvettim,Bostancı Dayı,https://cdnimg.melon.co.kr/cm2/album/images/115/61/405/11561405_20240807112507_500.jpg/melon/resize/120/quality/80/optimize,0RtzvHBV65ThWzML2a6EDA,0.577,0.662,-7.72,0.0289,0.355,1.65e-05,0.285,0.545,163.912,POP
Hollywood,"Toro y Moi, Benjamin Gibbard",https://cdnimg.melon.co.kr/cm2/album/images/115/62/580/11562580_20240808142058_500.jpg/melon/resize/120/quality/80/optimize,1jit8yRaXz50OZNINPxtym,0.548,0.526,-8.832,0.0579,0.0447,0.0482,0.197,0.143,179.668,POP
Your Ocean,0 Social Campus,https://cdnimg.melon.co.kr/cm2/album/images/115/55/216/11555216_20240731142903_500.jpg/melon/resize/120/quality/80/optimize,1iucaAlZmDP3MM3eIsc3GA,0.487,0.717,-6.874,0.0721,0.00725,0.278,0.105,0.556,144.043,인디
Titipan Hatiku,Kiano Nathaniel,https://cdnimg.melon.co.kr/cm2/album/images/115/60/007/11560007_20240806122649_500.jpg/melon/resize/120/quality/80/optimize,1yva5ak3XwDDZ1D3IJJWQ1,0.649,0.668,-10.087,0.0876,0.254,0.0,0.0887,0.734,91.992,POP
Tainted Skies,Tribulation,https://cdnimg.melon.co.kr/cm2/album/images/115/54/548/11554548_20240730174952_500.jpg/melon/resize/120/quality/80/optimize,1Yl6AmWBjACgN7vKnom9G1,0.436,0.959,-5.258,0.0527,1.95e-05,0.171,0.0794,0.472,150.161,해외 록메탈
Closet ,Young Duragg,https://cdnimg.melon.co.kr/cm2/album/images/115/57/540/11557540_20240802150721_500.jpg/melon/resize/120/quality/80/optimize,7fVBPATZluvuwPYglvjBNW,0.915,0.511,-8.179,0.178,0.579,3.44e-05,0.177,0.214,123.022,해외 랩힙합
Risen,Jay Ocean,https://cdnimg.melon.co.kr/cm2/album/images/115/60/766/11560766_20240806181549_500.jpg/melon/resize/120/quality/80/optimize,493i7qLKP8fMIVlTKiGfRm,0.559,0.654,-10.609,0.0537,0.0991,0.0721,0.0894,0.431,150.054,POP
Titanium ,David Guetta,https://cdnimg.melon.co.kr/cm/album/images/001/59/333/159333_500.jpg/melon/resize/120/quality/80/optimize,0TDLuuLlV54CkRRUOahJb4,0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,일렉트로니카
Mojito Vibes,"Guy Rickard, Fred Paci",https://cdnimg.melon.co.kr/cm2/album/images/115/42/927/11542927_20240716164640_500.jpg/melon/resize/120/quality/80/optimize,0JWSCuJh8jUyHD4K80OagU,0.736,0.724,-5.676,0.0604,0.0874,0.874,0.0943,0.454,171.911,재즈
Tokyo Joe,Bryan Ferry,https://cdnimg.melon.co.kr/cm2/album/images/115/62/712/11562712_20240808144452_500.jpg/melon/resize/120/quality/80/optimize,0UCAqcPwdX8884q03ZbED4,0.647,0.784,-5.578,0.0285,0.0668,0.00455,0.0625,0.881,116.558,POP
My Love,Aj,https://cdnimg.melon.co.kr/cm2/album/images/115/59/713/11559713_20240806111037_500.jpg/melon/resize/120/quality/80/optimize,2fIqhoR2RYvNZ5mzmgjyCW,0.784,0.28,-9.831,0.0439,0.451,0.0,0.134,0.395,112.093,해외 밴드
Keep Holding On,이원석 ,https://cdnimg.melon.co.kr/cm2/album/images/115/45/376/11545376_20240718141656_500.jpg/melon/resize/120/quality/80/optimize,7315OFYdJHseX4K7cXbN7T,0.514,0.882,-3.153,0.0436,0.596,0.0,0.101,0.353,170.025,OST
Come Again,m-flo,https://cdnimg.melon.co.kr/cm/album/images/003/01/974/301974_500.jpg/melon/resize/120/quality/80/optimize,477CB93mH986mrIheQD0RR,0.702,0.896,-3.414,0.0525,0.534,0.000238,0.118,0.917,130.156,JPOP
Strawberry,Bump Of Chicken,https://cdnimg.melon.co.kr/cm2/album/images/115/50/571/11550571_20240725110810_500.jpg/melon/resize/120/quality/80/optimize,6cy7ikHgmIH28MSrzT1wFS,0.73,0.509,-8.878,0.0297,0.121,1.7e-06,0.129,0.594,88.004,JPOP
Someday,아이유,https://cdnimg.melon.co.kr/cm/album/images/011/24/351/1124351_500.jpg/melon/resize/120/quality/80/optimize,1JbKkEqBNMPh49vApUOJmi,0.689,0.456,-8.24,0.0321,0.438,0.0,0.145,0.325,99.953,OST
