title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bust Fire,Lil Poppa,3YejGISRPHf9sV5pk8ldEN,https://cdnimg.melon.co.kr/cm2/album/images/115/55/789/11555789_20240801113321_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.632,0.584,11.0,-6.321,0.0,0.0748,0.00665,1.21e-05,0.167,0.543,74.985,audio_features,3YejGISRPHf9sV5pk8ldEN,spotify:track:3YejGISRPHf9sV5pk8ldEN,https://api.spotify.com/v1/tracks/3YejGISRPHf9sV5pk8ldEN,https://api.spotify.com/v1/audio-analysis/3YejGISRPHf9sV5pk8ldEN,222670.0,4.0
6AM Thoughts ,"NAV, Bay Swag",4l4gr5KjRl1msqINS47y20,https://cdnimg.melon.co.kr/cm2/album/images/115/55/788/11555788_20240801113314_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.827,0.426,8.0,-9.056,1.0,0.297,0.118,0.0,0.0864,0.452,152.963,audio_features,4l4gr5KjRl1msqINS47y20,spotify:track:4l4gr5KjRl1msqINS47y20,https://api.spotify.com/v1/tracks/4l4gr5KjRl1msqINS47y20,https://api.spotify.com/v1/audio-analysis/4l4gr5KjRl1msqINS47y20,200933.0,4.0
Mulata ,DJ Overule,2vLQ8cqEQdBaa1uXrZqgM0,https://cdnimg.melon.co.kr/cm2/album/images/115/55/781/11555781_20240801113240_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.746,0.678,6.0,-5.645,1.0,0.216,0.325,0.0,0.078,0.317,103.92,audio_features,2vLQ8cqEQdBaa1uXrZqgM0,spotify:track:2vLQ8cqEQdBaa1uXrZqgM0,https://api.spotify.com/v1/tracks/2vLQ8cqEQdBaa1uXrZqgM0,https://api.spotify.com/v1/audio-analysis/2vLQ8cqEQdBaa1uXrZqgM0,168894.0,4.0
SUMMERTIME,Cíntia,1ON78L2WpCk0n9MgCIhnRH,https://cdnimg.melon.co.kr/cm2/album/images/115/55/777/11555777_20240801113217_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.7,0.562,5.0,-7.21,0.0,0.252,0.195,0.0243,0.0982,0.363,187.962,audio_features,1ON78L2WpCk0n9MgCIhnRH,spotify:track:1ON78L2WpCk0n9MgCIhnRH,https://api.spotify.com/v1/tracks/1ON78L2WpCk0n9MgCIhnRH,https://api.spotify.com/v1/audio-analysis/1ON78L2WpCk0n9MgCIhnRH,188936.0,4.0
BUSSIN BRICKS INTRO,Killer Mike,4OquXE3CES3l85wcJ7ck77,https://cdnimg.melon.co.kr/cm2/album/images/115/55/760/11555760_20240801112953_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.759,0.859,7.0,-4.557,1.0,0.284,0.0418,0.0,0.316,0.961,154.185,audio_features,4OquXE3CES3l85wcJ7ck77,spotify:track:4OquXE3CES3l85wcJ7ck77,https://api.spotify.com/v1/tracks/4OquXE3CES3l85wcJ7ck77,https://api.spotify.com/v1/audio-analysis/4OquXE3CES3l85wcJ7ck77,95975.0,4.0
On Up,Big Sean,7k0QYUgeKHmNuroFKUbQbw,https://cdnimg.melon.co.kr/cm2/album/images/115/55/718/11555718_20240801112536_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.521,0.7,8.0,-6.214,0.0,0.189,0.167,0.0,0.115,0.344,95.074,audio_features,7k0QYUgeKHmNuroFKUbQbw,spotify:track:7k0QYUgeKHmNuroFKUbQbw,https://api.spotify.com/v1/tracks/7k0QYUgeKHmNuroFKUbQbw,https://api.spotify.com/v1/audio-analysis/7k0QYUgeKHmNuroFKUbQbw,150764.0,4.0
Bhrome Heart,skrilla,7D4Tz7af2YMNAfoTOVQaNC,https://cdnimg.melon.co.kr/cm2/album/images/115/55/717/11555717_20240801112533_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.565,0.644,5.0,-10.156,1.0,0.468,0.281,4.04e-05,0.107,0.191,108.49,audio_features,7D4Tz7af2YMNAfoTOVQaNC,spotify:track:7D4Tz7af2YMNAfoTOVQaNC,https://api.spotify.com/v1/tracks/7D4Tz7af2YMNAfoTOVQaNC,https://api.spotify.com/v1/audio-analysis/7D4Tz7af2YMNAfoTOVQaNC,96000.0,3.0
I DID IT,"9lives, Kanii, Anycia",4EjpTKFTO6MaCK0Lx5Y1hq,https://cdnimg.melon.co.kr/cm2/album/images/115/55/716/11555716_20240801112530_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.738,0.719,2.0,-6.264,1.0,0.181,0.00303,0.0,0.327,0.472,150.027,audio_features,4EjpTKFTO6MaCK0Lx5Y1hq,spotify:track:4EjpTKFTO6MaCK0Lx5Y1hq,https://api.spotify.com/v1/tracks/4EjpTKFTO6MaCK0Lx5Y1hq,https://api.spotify.com/v1/audio-analysis/4EjpTKFTO6MaCK0Lx5Y1hq,159837.0,4.0
Beyond the Limit ,"Vance Westlake, Michael James Burns",3QFYGf4TK72zEWWp2tpNiA,https://cdnimg.melon.co.kr/cm2/album/images/115/55/703/11555703_20240801112307_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.281,0.66,7.0,-10.379,0.0,0.044,0.000779,0.938,0.187,0.102,180.141,audio_features,3QFYGf4TK72zEWWp2tpNiA,spotify:track:3QFYGf4TK72zEWWp2tpNiA,https://api.spotify.com/v1/tracks/3QFYGf4TK72zEWWp2tpNiA,https://api.spotify.com/v1/audio-analysis/3QFYGf4TK72zEWWp2tpNiA,208000.0,4.0
Why Don't We ,Chogo,7oQ715HROo20wflbJmcgKp,https://cdnimg.melon.co.kr/cm2/album/images/115/55/649/11555649_20240801111715_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.599,0.479,5.0,-9.01,1.0,0.0308,0.662,0.0,0.0738,0.458,78.024,audio_features,7oQ715HROo20wflbJmcgKp,spotify:track:7oQ715HROo20wflbJmcgKp,https://api.spotify.com/v1/tracks/7oQ715HROo20wflbJmcgKp,https://api.spotify.com/v1/audio-analysis/7oQ715HROo20wflbJmcgKp,217376.0,4.0
Mouka,ONZY,2KVSkX4aTymza4VMoOkz9K,https://cdnimg.melon.co.kr/cm2/album/images/115/55/640/11555640_20240801111617_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.695,0.657,6.0,-12.01,0.0,0.0583,0.509,0.000431,0.157,0.689,114.016,audio_features,2KVSkX4aTymza4VMoOkz9K,spotify:track:2KVSkX4aTymza4VMoOkz9K,https://api.spotify.com/v1/tracks/2KVSkX4aTymza4VMoOkz9K,https://api.spotify.com/v1/audio-analysis/2KVSkX4aTymza4VMoOkz9K,192423.0,4.0
Rayons,"Dajak, Swing",4ZhoJjxa8x0BL9tMxwUnCW,https://cdnimg.melon.co.kr/cm2/album/images/115/55/542/11555542_20240801110144_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.443,0.488,8.0,-12.77,0.0,0.0573,0.76,0.00918,0.148,0.455,134.83,audio_features,4ZhoJjxa8x0BL9tMxwUnCW,spotify:track:4ZhoJjxa8x0BL9tMxwUnCW,https://api.spotify.com/v1/tracks/4ZhoJjxa8x0BL9tMxwUnCW,https://api.spotify.com/v1/audio-analysis/4ZhoJjxa8x0BL9tMxwUnCW,325960.0,4.0
NOD YA HEAD! ,Terror Reid,63xFXMDAcCrCGKrNR7XHP3,https://cdnimg.melon.co.kr/cm2/album/images/115/55/468/11555468_20240731173306_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.852,0.916,11.0,-4.627,1.0,0.107,0.195,0.0,0.314,0.506,109.994,audio_features,63xFXMDAcCrCGKrNR7XHP3,spotify:track:63xFXMDAcCrCGKrNR7XHP3,https://api.spotify.com/v1/tracks/63xFXMDAcCrCGKrNR7XHP3,https://api.spotify.com/v1/audio-analysis/63xFXMDAcCrCGKrNR7XHP3,133091.0,4.0
Spell ,Hidemen,0BEfzQnDKfwSAnaod8Goix,https://cdnimg.melon.co.kr/cm2/album/images/115/55/466/11555466_20240731173302_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.736,0.605,2.0,-11.533,1.0,0.106,0.0426,0.00425,0.199,0.188,96.989,audio_features,0BEfzQnDKfwSAnaod8Goix,spotify:track:0BEfzQnDKfwSAnaod8Goix,https://api.spotify.com/v1/tracks/0BEfzQnDKfwSAnaod8Goix,https://api.spotify.com/v1/audio-analysis/0BEfzQnDKfwSAnaod8Goix,186792.0,4.0
Monsun,"Freezy, Didi",3Sphuz17xKF7hBSKIGWs3Z,https://cdnimg.melon.co.kr/cm2/album/images/115/55/427/11555427_20240731164053_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.746,0.682,8.0,-7.157,0.0,0.165,0.591,7.76e-05,0.334,0.784,102.029,audio_features,3Sphuz17xKF7hBSKIGWs3Z,spotify:track:3Sphuz17xKF7hBSKIGWs3Z,https://api.spotify.com/v1/tracks/3Sphuz17xKF7hBSKIGWs3Z,https://api.spotify.com/v1/audio-analysis/3Sphuz17xKF7hBSKIGWs3Z,160000.0,4.0
Salamanca ,Eevil Stöö,0tdvfMvVdOeumuvcoNGcZm,https://cdnimg.melon.co.kr/cm2/album/images/115/55/405/11555405_20240731163854_500.jpg/melon/resize/120/quality/80/optimize,Oversea,0.463,0.643,9.0,-6.802,1.0,0.36,0.157,0.00431,0.356,0.182,82.135,audio_features,0tdvfMvVdOeumuvcoNGcZm,spotify:track:0tdvfMvVdOeumuvcoNGcZm,https://api.spotify.com/v1/tracks/0tdvfMvVdOeumuvcoNGcZm,https://api.spotify.com/v1/audio-analysis/0tdvfMvVdOeumuvcoNGcZm,176866.0,4.0
