title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Wedding Dress,2NO4CA2TFvhGeg7XMz8PmT,0.729,0.669,0,-4.73,1,0.0347,0.122,0.0,0.129,0.707,133.943,audio_features,2NO4CA2TFvhGeg7XMz8PmT,spotify:track:2NO4CA2TFvhGeg7XMz8PmT,https://api.spotify.com/v1/tracks/2NO4CA2TFvhGeg7XMz8PmT,https://api.spotify.com/v1/audio-analysis/2NO4CA2TFvhGeg7XMz8PmT,242747,4
I'm in love ,1ZA7JtH7yhn5653QpdsYy0,0.33,0.488,10,-5.458,0,0.0336,0.407,0.0,0.114,0.0784,122.311,audio_features,1ZA7JtH7yhn5653QpdsYy0,spotify:track:1ZA7JtH7yhn5653QpdsYy0,https://api.spotify.com/v1/tracks/1ZA7JtH7yhn5653QpdsYy0,https://api.spotify.com/v1/audio-analysis/1ZA7JtH7yhn5653QpdsYy0,261800,4
혼자만 하는 사랑,6J0M0cR2SOdgmAHTjtoYYl,0.387,0.665,9,-4.84,1,0.102,0.225,0.0,0.117,0.203,65.356,audio_features,6J0M0cR2SOdgmAHTjtoYYl,spotify:track:6J0M0cR2SOdgmAHTjtoYYl,https://api.spotify.com/v1/tracks/6J0M0cR2SOdgmAHTjtoYYl,https://api.spotify.com/v1/audio-analysis/6J0M0cR2SOdgmAHTjtoYYl,265013,4
오래도록 고맙도록,2RGZjmWzjqHQwTcaHCRCtz,0.484,0.554,4,-6.216,1,0.0855,0.542,0.0,0.0917,0.485,204.039,audio_features,2RGZjmWzjqHQwTcaHCRCtz,spotify:track:2RGZjmWzjqHQwTcaHCRCtz,https://api.spotify.com/v1/tracks/2RGZjmWzjqHQwTcaHCRCtz,https://api.spotify.com/v1/audio-analysis/2RGZjmWzjqHQwTcaHCRCtz,237640,3
반지하나,3FZTrpEjQ7PtB84Q08Cm2h,0.361,0.497,7,-5.632,0,0.0392,0.669,0.0,0.124,0.0918,66.258,audio_features,3FZTrpEjQ7PtB84Q08Cm2h,spotify:track:3FZTrpEjQ7PtB84Q08Cm2h,https://api.spotify.com/v1/tracks/3FZTrpEjQ7PtB84Q08Cm2h,https://api.spotify.com/v1/audio-analysis/3FZTrpEjQ7PtB84Q08Cm2h,233561,4
나 돌아가,1N2h6hgHjHjuiMawFZvhcB,0.612,0.435,7,-7.214,1,0.0384,0.596,2.94e-06,0.103,0.167,137.821,audio_features,1N2h6hgHjHjuiMawFZvhcB,spotify:track:1N2h6hgHjHjuiMawFZvhcB,https://api.spotify.com/v1/tracks/1N2h6hgHjHjuiMawFZvhcB,https://api.spotify.com/v1/audio-analysis/1N2h6hgHjHjuiMawFZvhcB,241913,4
Nothing Better,1c3YKD6HDervPsw0nHxlhh,0.547,0.106,10,-14.856,1,0.0387,0.969,0.00107,0.109,0.288,95.572,audio_features,1c3YKD6HDervPsw0nHxlhh,spotify:track:1c3YKD6HDervPsw0nHxlhh,https://api.spotify.com/v1/tracks/1c3YKD6HDervPsw0nHxlhh,https://api.spotify.com/v1/audio-analysis/1c3YKD6HDervPsw0nHxlhh,263533,4
Get ,0N8FMthMkLkTOZ85dyGMuG,0.834,0.865,5,-4.673,1,0.0587,0.288,0.0,0.114,0.736,113.038,audio_features,0N8FMthMkLkTOZ85dyGMuG,spotify:track:0N8FMthMkLkTOZ85dyGMuG,https://api.spotify.com/v1/tracks/0N8FMthMkLkTOZ85dyGMuG,https://api.spotify.com/v1/audio-analysis/0N8FMthMkLkTOZ85dyGMuG,206864,4
피 ,6TsLH8lVn7gA7qxgIHX2aO,0.588,0.616,6,-4.871,1,0.0431,0.493,0.0,0.121,0.278,129.922,audio_features,6TsLH8lVn7gA7qxgIHX2aO,spotify:track:6TsLH8lVn7gA7qxgIHX2aO,https://api.spotify.com/v1/tracks/6TsLH8lVn7gA7qxgIHX2aO,https://api.spotify.com/v1/audio-analysis/6TsLH8lVn7gA7qxgIHX2aO,260989,4
슬픔을 참는 세가지 방법,78gDW45eZ7jb74undwOhFI,0.797,0.735,11,-7.2,0,0.0291,0.296,3.61e-06,0.0943,0.832,106.005,audio_features,78gDW45eZ7jb74undwOhFI,spotify:track:78gDW45eZ7jb74undwOhFI,https://api.spotify.com/v1/tracks/78gDW45eZ7jb74undwOhFI,https://api.spotify.com/v1/audio-analysis/78gDW45eZ7jb74undwOhFI,249017,4
