title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Intro,Poison Ruïn,2Sn1BnllKWFhnsdcQIW6hS,https://cdnimg.melon.co.kr/cm2/album/images/076/12/877/7612877_20240703013050_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.167,0.196,6,-21.594,0,0.0406,0.97,0.813,0.158,0.0988,83.121,audio_features,2Sn1BnllKWFhnsdcQIW6hS,spotify:track:2Sn1BnllKWFhnsdcQIW6hS,https://api.spotify.com/v1/tracks/2Sn1BnllKWFhnsdcQIW6hS,https://api.spotify.com/v1/audio-analysis/2Sn1BnllKWFhnsdcQIW6hS,40379,4
Programmed To Suffer,A Night In Texas,7MnmvgLZBr2ocWONNRUUJq,https://cdnimg.melon.co.kr/cm2/album/images/075/98/417/7598417_20240702005535_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.4,0.997,9,-5.029,1,0.171,0.000169,0.0182,0.0814,0.0359,139.884,audio_features,7MnmvgLZBr2ocWONNRUUJq,spotify:track:7MnmvgLZBr2ocWONNRUUJq,https://api.spotify.com/v1/tracks/7MnmvgLZBr2ocWONNRUUJq,https://api.spotify.com/v1/audio-analysis/7MnmvgLZBr2ocWONNRUUJq,232405,4
All Night,"The Reds, Pinks and Purples",3F2KLjPXiQd9ENGNohcaWl,https://cdnimg.melon.co.kr/cm2/album/images/075/95/984/7595984_20240701214610_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.407,0.357,9,-12.391,1,0.0284,0.882,0.433,0.133,0.0754,140.026,audio_features,3F2KLjPXiQd9ENGNohcaWl,spotify:track:3F2KLjPXiQd9ENGNohcaWl,https://api.spotify.com/v1/tracks/3F2KLjPXiQd9ENGNohcaWl,https://api.spotify.com/v1/audio-analysis/3F2KLjPXiQd9ENGNohcaWl,290657,4
Secondhand Lemonade ,"Milo Gore, Podsongs",218MqhNxe15KnQygYBWlvh,https://cdnimg.melon.co.kr/cm2/album/images/075/87/355/7587355_20240701080222_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.622,0.448,2,-9.677,1,0.0327,0.574,3.18e-06,0.18,0.411,100.015,audio_features,218MqhNxe15KnQygYBWlvh,spotify:track:218MqhNxe15KnQygYBWlvh,https://api.spotify.com/v1/tracks/218MqhNxe15KnQygYBWlvh,https://api.spotify.com/v1/audio-analysis/218MqhNxe15KnQygYBWlvh,297190,4
Fill Your Grave,Mourning Wood,62VPD05GQc1Imnl2OWUmPo,https://cdnimg.melon.co.kr/cm2/album/images/075/82/665/7582665_20240701014257_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.412,0.886,4,-9.608,0,0.0705,1.56e-05,0.00742,0.221,0.577,169.92,audio_features,62VPD05GQc1Imnl2OWUmPo,spotify:track:62VPD05GQc1Imnl2OWUmPo,https://api.spotify.com/v1/tracks/62VPD05GQc1Imnl2OWUmPo,https://api.spotify.com/v1/audio-analysis/62VPD05GQc1Imnl2OWUmPo,206171,4
Ruby Church,X,3oVfMZgksGM7G3himHLAiV,https://cdnimg.melon.co.kr/cm2/album/images/075/81/290/7581290_20240701000648_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.425,0.947,7,-4.048,1,0.058,0.00246,0.0,0.33,0.474,89.968,audio_features,3oVfMZgksGM7G3himHLAiV,spotify:track:3oVfMZgksGM7G3himHLAiV,https://api.spotify.com/v1/tracks/3oVfMZgksGM7G3himHLAiV,https://api.spotify.com/v1/audio-analysis/3oVfMZgksGM7G3himHLAiV,127480,4
In My Bones,Carnophage,69itCybbQ0t4JUIyjCmWwv,https://cdnimg.melon.co.kr/cm2/album/images/075/72/464/7572464_20240630133855_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.483,0.869,0,-5.604,1,0.0558,0.000429,0.93,0.231,0.239,125.044,audio_features,69itCybbQ0t4JUIyjCmWwv,spotify:track:69itCybbQ0t4JUIyjCmWwv,https://api.spotify.com/v1/tracks/69itCybbQ0t4JUIyjCmWwv,https://api.spotify.com/v1/audio-analysis/69itCybbQ0t4JUIyjCmWwv,213490,4
Torpa,I Love Your Lifestyle,2cCwsuGWENvU1rfVGvY2XX,https://cdnimg.melon.co.kr/cm2/album/images/075/72/426/7572426_20240630133530_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.403,0.892,2,-6.105,1,0.032,0.014,1e-05,0.142,0.573,180.062,audio_features,2cCwsuGWENvU1rfVGvY2XX,spotify:track:2cCwsuGWENvU1rfVGvY2XX,https://api.spotify.com/v1/tracks/2cCwsuGWENvU1rfVGvY2XX,https://api.spotify.com/v1/audio-analysis/2cCwsuGWENvU1rfVGvY2XX,250707,3
The Traveler,Marcus Nand,2NDnZYDq23K4qDDB6PYl2S,https://cdnimg.melon.co.kr/cm2/album/images/075/64/947/7564947_20240630040116_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.476,0.858,11,-6.723,0,0.0358,0.00133,0.0,0.0737,0.532,101.977,audio_features,2NDnZYDq23K4qDDB6PYl2S,spotify:track:2NDnZYDq23K4qDDB6PYl2S,https://api.spotify.com/v1/tracks/2NDnZYDq23K4qDDB6PYl2S,https://api.spotify.com/v1/audio-analysis/2NDnZYDq23K4qDDB6PYl2S,213825,3
Forbidden Flesh,Lethal Technology,0X756sBnvrEGOghdSvgNQ3,https://cdnimg.melon.co.kr/cm2/album/images/075/57/366/7557366_20240629182601_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.408,0.905,6,-7.267,0,0.0914,0.00296,0.449,0.351,0.192,129.903,audio_features,0X756sBnvrEGOghdSvgNQ3,spotify:track:0X756sBnvrEGOghdSvgNQ3,https://api.spotify.com/v1/tracks/0X756sBnvrEGOghdSvgNQ3,https://api.spotify.com/v1/audio-analysis/0X756sBnvrEGOghdSvgNQ3,248133,4
