title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Se Apagó,"FUGITYVO SAN, Vizual Dealer",6Zwubwh2J53qmt6wOaCnEw,https://cdnimg.melon.co.kr/cm2/album/images/075/85/436/7585436_20240701050950_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.718,0.386,11,-12.798,0,0.263,0.114,0.0,0.172,0.475,77.035,audio_features,6Zwubwh2J53qmt6wOaCnEw,spotify:track:6Zwubwh2J53qmt6wOaCnEw,https://api.spotify.com/v1/tracks/6Zwubwh2J53qmt6wOaCnEw,https://api.spotify.com/v1/audio-analysis/6Zwubwh2J53qmt6wOaCnEw,202792,4
We Gon Creep Yuh ,LA MALA,6qIx3z4DBa3iryXjmSnfmL,https://cdnimg.melon.co.kr/cm2/album/images/075/29/385/7529385_20240628073520_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.7,0.798,9,-14.233,0,0.0378,0.643,0.000816,0.16,0.919,160.029,audio_features,6qIx3z4DBa3iryXjmSnfmL,spotify:track:6qIx3z4DBa3iryXjmSnfmL,https://api.spotify.com/v1/tracks/6qIx3z4DBa3iryXjmSnfmL,https://api.spotify.com/v1/audio-analysis/6qIx3z4DBa3iryXjmSnfmL,109592,4
Fight Musik,Mal-Jay,5fM535TtvKzzjI15yA38RI,https://cdnimg.melon.co.kr/cm2/album/images/075/14/865/7514865_20240627132522_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.767,0.512,10,-12.179,1,0.274,0.136,0.0,0.0907,0.875,140.016,audio_features,5fM535TtvKzzjI15yA38RI,spotify:track:5fM535TtvKzzjI15yA38RI,https://api.spotify.com/v1/tracks/5fM535TtvKzzjI15yA38RI,https://api.spotify.com/v1/audio-analysis/5fM535TtvKzzjI15yA38RI,226194,4
War Eagle,BK,3KzTZAVCVdrcBk6qLGBPEZ,https://cdnimg.melon.co.kr/cm2/album/images/073/74/463/7374463_20240501053917_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.706,0.468,2,-14.551,1,0.162,0.0286,0.931,0.079,0.0456,135.039,audio_features,3KzTZAVCVdrcBk6qLGBPEZ,spotify:track:3KzTZAVCVdrcBk6qLGBPEZ,https://api.spotify.com/v1/tracks/3KzTZAVCVdrcBk6qLGBPEZ,https://api.spotify.com/v1/audio-analysis/3KzTZAVCVdrcBk6qLGBPEZ,170667,4
Day Spa ,Sir Veterano,3wJ50nTtmGzEDgyHyWcY0e,https://cdnimg.melon.co.kr/cm2/album/images/071/87/520/7187520_20231220023855_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.728,0.456,10,-7.976,0,0.157,0.0249,0.912,0.299,0.62,92.075,audio_features,3wJ50nTtmGzEDgyHyWcY0e,spotify:track:3wJ50nTtmGzEDgyHyWcY0e,https://api.spotify.com/v1/tracks/3wJ50nTtmGzEDgyHyWcY0e,https://api.spotify.com/v1/audio-analysis/3wJ50nTtmGzEDgyHyWcY0e,118986,4
3rd John ,A-Q,2FjcBWpaP37Oinlp7T8fFR,https://cdnimg.melon.co.kr/cm2/album/images/115/60/456/11560456_20240806171402_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.676,0.857,9,-5.325,0,0.325,0.215,0.0,0.295,0.772,89.657,audio_features,2FjcBWpaP37Oinlp7T8fFR,spotify:track:2FjcBWpaP37Oinlp7T8fFR,https://api.spotify.com/v1/tracks/2FjcBWpaP37Oinlp7T8fFR,https://api.spotify.com/v1/audio-analysis/2FjcBWpaP37Oinlp7T8fFR,176666,4
MODERNART,BORNS,0Pzn1kz4JWPx67YjGdv6Pn,https://cdnimg.melon.co.kr/cm2/album/images/115/60/446/11560446_20240806171226_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.561,0.653,11,-9.651,0,0.495,0.39,0.0,0.144,0.711,138.022,audio_features,0Pzn1kz4JWPx67YjGdv6Pn,spotify:track:0Pzn1kz4JWPx67YjGdv6Pn,https://api.spotify.com/v1/tracks/0Pzn1kz4JWPx67YjGdv6Pn,https://api.spotify.com/v1/audio-analysis/0Pzn1kz4JWPx67YjGdv6Pn,187348,4
UMSINDO ,Asvnte,0QZ1cjR64cdpXEYFG1iHXX,https://cdnimg.melon.co.kr/cm2/album/images/115/60/442/11560442_20240806171202_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.9,0.598,5,-6.309,0,0.0783,0.128,0.0,0.143,0.341,129.951,audio_features,0QZ1cjR64cdpXEYFG1iHXX,spotify:track:0QZ1cjR64cdpXEYFG1iHXX,https://api.spotify.com/v1/tracks/0QZ1cjR64cdpXEYFG1iHXX,https://api.spotify.com/v1/audio-analysis/0QZ1cjR64cdpXEYFG1iHXX,156034,4
Flasche kreist,"01099, Ski Aggu",0N6OgNSefDTYZWqlzjVHrY,https://cdnimg.melon.co.kr/cm2/album/images/115/60/432/11560432_20240806171047_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.673,0.882,0,-5.798,0,0.0585,0.0294,0.0419,0.194,0.394,135.047,audio_features,0N6OgNSefDTYZWqlzjVHrY,spotify:track:0N6OgNSefDTYZWqlzjVHrY,https://api.spotify.com/v1/tracks/0N6OgNSefDTYZWqlzjVHrY,https://api.spotify.com/v1/audio-analysis/0N6OgNSefDTYZWqlzjVHrY,152894,4
Tańcz... Danse Macabre,"JestemEso, DJ Mariano MBH, Smokin, DJ Ph",0q7K3IDCCTz2hCsUDmeYrw,https://cdnimg.melon.co.kr/cm2/album/images/115/60/404/11560404_20240806165802_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.48,0.761,5,-8.264,1,0.403,0.0425,9.52e-06,0.118,0.255,183.38,audio_features,0q7K3IDCCTz2hCsUDmeYrw,spotify:track:0q7K3IDCCTz2hCsUDmeYrw,https://api.spotify.com/v1/tracks/0q7K3IDCCTz2hCsUDmeYrw,https://api.spotify.com/v1/audio-analysis/0q7K3IDCCTz2hCsUDmeYrw,183000,4
