title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Usual townscape,Hiro,5798v4UaWdRdTGhzv1jn2P,https://cdnimg.melon.co.kr/cm2/album/images/115/56/255/11556255_20240801142824_500.jpg/melon/resize/120/quality/80/optimize,etc,0.774,0.31,4,-12.603,0,0.0602,0.898,0.817,0.112,0.856,111.016,audio_features,5798v4UaWdRdTGhzv1jn2P,spotify:track:5798v4UaWdRdTGhzv1jn2P,https://api.spotify.com/v1/tracks/5798v4UaWdRdTGhzv1jn2P,https://api.spotify.com/v1/audio-analysis/5798v4UaWdRdTGhzv1jn2P,96320,4
Hectic journey,Hiro,2JsBDnPJ89FNX3eT8GxZgV,https://cdnimg.melon.co.kr/cm2/album/images/115/56/253/11556253_20240801142813_500.jpg/melon/resize/120/quality/80/optimize,etc,0.702,0.721,4,-12.115,1,0.0417,0.00291,0.85,0.121,0.357,137.021,audio_features,2JsBDnPJ89FNX3eT8GxZgV,spotify:track:2JsBDnPJ89FNX3eT8GxZgV,https://api.spotify.com/v1/tracks/2JsBDnPJ89FNX3eT8GxZgV,https://api.spotify.com/v1/audio-analysis/2JsBDnPJ89FNX3eT8GxZgV,125960,4
Usque In Finem,Radoslaw Kostecki,6WEcjWzZ0DW6VxPUyXVuha,https://cdnimg.melon.co.kr/cm2/album/images/074/52/306/7452306_20240510194905_500.jpg/melon/resize/120/quality/80/optimize,etc,0.491,0.0299,1,-26.462,1,0.0691,0.978,0.879,0.0836,0.519,85.829,audio_features,6WEcjWzZ0DW6VxPUyXVuha,spotify:track:6WEcjWzZ0DW6VxPUyXVuha,https://api.spotify.com/v1/tracks/6WEcjWzZ0DW6VxPUyXVuha,https://api.spotify.com/v1/audio-analysis/6WEcjWzZ0DW6VxPUyXVuha,232530,4
Spe Varia,Radoslaw Kostecki,1Izl7pzK3RPzaF954TiW2G,https://cdnimg.melon.co.kr/cm2/album/images/074/52/303/7452303_20240510194901_500.jpg/melon/resize/120/quality/80/optimize,etc,0.378,0.0143,5,-28.978,1,0.069,0.985,0.932,0.0828,0.0372,79.505,audio_features,1Izl7pzK3RPzaF954TiW2G,spotify:track:1Izl7pzK3RPzaF954TiW2G,https://api.spotify.com/v1/tracks/1Izl7pzK3RPzaF954TiW2G,https://api.spotify.com/v1/audio-analysis/1Izl7pzK3RPzaF954TiW2G,279890,4
Soulstir,"jazzer, Admin.S",0V0oQTzljv8BBkE65MipdR,https://cdnimg.melon.co.kr/cm2/album/images/115/57/204/11557204_20240802103116_500.jpg/melon/resize/120/quality/80/optimize,etc,0.834,0.741,3,-5.392,0,0.0372,0.243,0.469,0.162,0.85,139.989,audio_features,0V0oQTzljv8BBkE65MipdR,spotify:track:0V0oQTzljv8BBkE65MipdR,https://api.spotify.com/v1/tracks/0V0oQTzljv8BBkE65MipdR,https://api.spotify.com/v1/audio-analysis/0V0oQTzljv8BBkE65MipdR,180133,4
IN YOUR ARMS,VELVET MOON MELODY,5CWDyLp0G9XBhtOcxroBlH,https://cdnimg.melon.co.kr/cm2/album/images/115/55/805/11555805_20240801113504_500.jpg/melon/resize/120/quality/80/optimize,etc,0.714,0.369,7,-11.478,1,0.0293,0.626,9.58e-05,0.111,0.173,128.971,audio_features,5CWDyLp0G9XBhtOcxroBlH,spotify:track:5CWDyLp0G9XBhtOcxroBlH,https://api.spotify.com/v1/tracks/5CWDyLp0G9XBhtOcxroBlH,https://api.spotify.com/v1/audio-analysis/5CWDyLp0G9XBhtOcxroBlH,250584,4
Travel,Me'Shell Ndegeocello,566fobHwzVOPFGOpX0iP7v,https://cdnimg.melon.co.kr/cm2/album/images/115/55/570/11555570_20240801110821_500.jpg/melon/resize/120/quality/80/optimize,etc,0.688,0.562,2,-9.353,0,0.0352,0.722,7.76e-06,0.345,0.736,110.018,audio_features,566fobHwzVOPFGOpX0iP7v,spotify:track:566fobHwzVOPFGOpX0iP7v,https://api.spotify.com/v1/tracks/566fobHwzVOPFGOpX0iP7v,https://api.spotify.com/v1/audio-analysis/566fobHwzVOPFGOpX0iP7v,249840,4
When You Wish Upon a Star,Alex Hahn,23uH8as9nVUpIx4Qbe4hTA,https://cdnimg.melon.co.kr/cm2/album/images/076/37/509/7637509_20240704145249_500.jpg/melon/resize/120/quality/80/optimize,etc,0.387,0.459,5,-11.78,0,0.0285,0.409,0.00708,0.103,0.262,142.272,audio_features,23uH8as9nVUpIx4Qbe4hTA,spotify:track:23uH8as9nVUpIx4Qbe4hTA,https://api.spotify.com/v1/tracks/23uH8as9nVUpIx4Qbe4hTA,https://api.spotify.com/v1/audio-analysis/23uH8as9nVUpIx4Qbe4hTA,356750,3
abb,Hubbub,1rWE8cqQUrBeUpP26adbVB,https://cdnimg.melon.co.kr/cm2/album/images/076/11/621/7611621_20240702235058_500.jpg/melon/resize/120/quality/80/optimize,etc,0.234,0.132,2,-18.472,1,0.0397,0.749,0.729,0.257,0.0313,71.601,audio_features,1rWE8cqQUrBeUpP26adbVB,spotify:track:1rWE8cqQUrBeUpP26adbVB,https://api.spotify.com/v1/tracks/1rWE8cqQUrBeUpP26adbVB,https://api.spotify.com/v1/audio-analysis/1rWE8cqQUrBeUpP26adbVB,2333787,4
Gorges Gard,Onceim,1L76aS8TfciesS34OGx9QG,https://cdnimg.melon.co.kr/cm2/album/images/076/11/447/7611447_20240702233532_500.jpg/melon/resize/120/quality/80/optimize,etc,0.244,0.356,1,-18.756,1,0.0834,0.285,0.186,0.326,0.0392,82.197,audio_features,1L76aS8TfciesS34OGx9QG,spotify:track:1L76aS8TfciesS34OGx9QG,https://api.spotify.com/v1/tracks/1L76aS8TfciesS34OGx9QG,https://api.spotify.com/v1/audio-analysis/1L76aS8TfciesS34OGx9QG,2939254,4
