title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Feelings,Maroon 5,0plAYelfnt9ZLCzbyRUEpP,https://cdnimg.melon.co.kr/cm/album/images/022/79/275/2279275_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.693,0.727,10,-5.364,0,0.0749,0.00365,0.0,0.0576,0.746,121.937,audio_features,0plAYelfnt9ZLCzbyRUEpP,spotify:track:0plAYelfnt9ZLCzbyRUEpP,https://api.spotify.com/v1/tracks/0plAYelfnt9ZLCzbyRUEpP,https://api.spotify.com/v1/audio-analysis/0plAYelfnt9ZLCzbyRUEpP,194773,4
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,https://cdnimg.melon.co.kr/cm/album/images/026/54/634/2654634_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,audio_features,3RiPr603aXAoi4GHyXx0uy,spotify:track:3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/tracks/3RiPr603aXAoi4GHyXx0uy,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy,258267,4
Like A Fool,Keira Knightley,5OlZrp8e7scbytKHePJ4Pp,https://cdnimg.melon.co.kr/cm/album/images/022/66/865/2266865_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.704,0.233,5,-13.689,1,0.035,0.898,0.000157,0.112,0.181,114.928,audio_features,5OlZrp8e7scbytKHePJ4Pp,spotify:track:5OlZrp8e7scbytKHePJ4Pp,https://api.spotify.com/v1/tracks/5OlZrp8e7scbytKHePJ4Pp,https://api.spotify.com/v1/audio-analysis/5OlZrp8e7scbytKHePJ4Pp,144427,4
Right Here Waiting ,Richard Marx,4LFwNJWoj74Yd71fIr1W8x,https://cdnimg.melon.co.kr/cm/album/images/003/29/986/329986_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.395,0.252,0,-13.589,1,0.0301,0.8,0.0,0.101,0.126,177.679,audio_features,4LFwNJWoj74Yd71fIr1W8x,spotify:track:4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/tracks/4LFwNJWoj74Yd71fIr1W8x,https://api.spotify.com/v1/audio-analysis/4LFwNJWoj74Yd71fIr1W8x,264333,4
Wannabe,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT,https://cdnimg.melon.co.kr/cm/album/images/000/20/196/20196_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.768,0.864,11,-6.149,1,0.0324,0.101,0.0,0.162,0.891,110.009,audio_features,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,173027,4
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,https://cdnimg.melon.co.kr/cm/album/images/026/54/634/2654634_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,audio_features,69uxyAqqPIsUyTO8txoP2M,spotify:track:69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/tracks/69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/audio-analysis/69uxyAqqPIsUyTO8txoP2M,263787,4
Goodbye,Jessica,2AXDMCY8s2WSZgziVI2QEC,https://cdnimg.melon.co.kr/cm/album/images/000/18/696/18696_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.52,0.344,6,-9.092,1,0.0278,0.519,0.0,0.122,0.13,129.022,audio_features,2AXDMCY8s2WSZgziVI2QEC,spotify:track:2AXDMCY8s2WSZgziVI2QEC,https://api.spotify.com/v1/tracks/2AXDMCY8s2WSZgziVI2QEC,https://api.spotify.com/v1/audio-analysis/2AXDMCY8s2WSZgziVI2QEC,246400,4
Harlem Desire,London Boys,0t0ew9Tmbt7xLYRO8C1ebr,https://cdnimg.melon.co.kr/cm/album/images/003/09/899/309899_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.771,0.676,11,-10.509,0,0.0411,0.128,4.17e-05,0.2,0.549,117.658,audio_features,0t0ew9Tmbt7xLYRO8C1ebr,spotify:track:0t0ew9Tmbt7xLYRO8C1ebr,https://api.spotify.com/v1/tracks/0t0ew9Tmbt7xLYRO8C1ebr,https://api.spotify.com/v1/audio-analysis/0t0ew9Tmbt7xLYRO8C1ebr,226280,4
Last Friday Night ,Katy Perry,1htQDV8JxSuXG2QsNj5ttr,https://cdnimg.melon.co.kr/cm/album/images/010/06/701/1006701_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.652,0.81,3,-3.789,0,0.0406,0.00129,2.91e-05,0.667,0.732,126.022,audio_features,1htQDV8JxSuXG2QsNj5ttr,spotify:track:1htQDV8JxSuXG2QsNj5ttr,https://api.spotify.com/v1/tracks/1htQDV8JxSuXG2QsNj5ttr,https://api.spotify.com/v1/audio-analysis/1htQDV8JxSuXG2QsNj5ttr,230733,4
You Give Me Something,James Morrison,6bFsQ6yOp3z5mGNkhWP0P1,https://cdnimg.melon.co.kr/cm/album/images/003/28/433/328433_500.jpg/melon/resize/120/quality/80/optimize,etc,POP,0.559,0.688,7,-6.496,1,0.114,0.216,0.0,0.0855,0.578,79.753,audio_features,6bFsQ6yOp3z5mGNkhWP0P1,spotify:track:6bFsQ6yOp3z5mGNkhWP0P1,https://api.spotify.com/v1/tracks/6bFsQ6yOp3z5mGNkhWP0P1,https://api.spotify.com/v1/audio-analysis/6bFsQ6yOp3z5mGNkhWP0P1,213173,4
