title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
하하하쏭,2nCRVI1O6qV4mHzg9tviU1,0.697,0.839,7,-5.178,1,0.172,0.0424,0.000405,0.345,0.5,152.087,audio_features,2nCRVI1O6qV4mHzg9tviU1,spotify:track:2nCRVI1O6qV4mHzg9tviU1,https://api.spotify.com/v1/tracks/2nCRVI1O6qV4mHzg9tviU1,https://api.spotify.com/v1/audio-analysis/2nCRVI1O6qV4mHzg9tviU1,196680,4
눈물,2oxcVSVjzmtccdA98e9qug,0.596,0.718,0,-5.454,0,0.0319,0.264,5.48e-06,0.0885,0.295,123.973,audio_features,2oxcVSVjzmtccdA98e9qug,spotify:track:2oxcVSVjzmtccdA98e9qug,https://api.spotify.com/v1/tracks/2oxcVSVjzmtccdA98e9qug,https://api.spotify.com/v1/audio-analysis/2oxcVSVjzmtccdA98e9qug,256575,4
사미인곡,6llD65xnib9PfMQ5MJAq3E,0.521,0.935,1,-3.657,1,0.0425,0.0029,0.0,0.0538,0.849,140.004,audio_features,6llD65xnib9PfMQ5MJAq3E,spotify:track:6llD65xnib9PfMQ5MJAq3E,https://api.spotify.com/v1/tracks/6llD65xnib9PfMQ5MJAq3E,https://api.spotify.com/v1/audio-analysis/6llD65xnib9PfMQ5MJAq3E,257489,4
벌,5b0h4ywut1SbMdHUKrlVgQ,0.311,0.492,3,-6.41,0,0.0314,0.345,0.0,0.133,0.204,138.763,audio_features,5b0h4ywut1SbMdHUKrlVgQ,spotify:track:5b0h4ywut1SbMdHUKrlVgQ,https://api.spotify.com/v1/tracks/5b0h4ywut1SbMdHUKrlVgQ,https://api.spotify.com/v1/audio-analysis/5b0h4ywut1SbMdHUKrlVgQ,253200,4
내 남은 사랑을 위해,5SlKdMIoJbzn2bRuNHJaB3,0.472,0.591,4,-5.67,0,0.0271,0.129,0.0,0.144,0.104,144.03,audio_features,5SlKdMIoJbzn2bRuNHJaB3,spotify:track:5SlKdMIoJbzn2bRuNHJaB3,https://api.spotify.com/v1/tracks/5SlKdMIoJbzn2bRuNHJaB3,https://api.spotify.com/v1/audio-analysis/5SlKdMIoJbzn2bRuNHJaB3,265482,4
Love Shine,6630UyH72yGwAWhYYKkB5G,0.633,0.655,11,-5.383,0,0.0288,0.0526,0.0056,0.21,0.761,109.971,audio_features,6630UyH72yGwAWhYYKkB5G,spotify:track:6630UyH72yGwAWhYYKkB5G,https://api.spotify.com/v1/tracks/6630UyH72yGwAWhYYKkB5G,https://api.spotify.com/v1/audio-analysis/6630UyH72yGwAWhYYKkB5G,260560,4
신,0tTzNoGdANQHsFVOMaoU3u,0.625,0.757,6,-6.591,0,0.0263,0.0459,0.000221,0.0643,0.735,125.999,audio_features,0tTzNoGdANQHsFVOMaoU3u,spotify:track:0tTzNoGdANQHsFVOMaoU3u,https://api.spotify.com/v1/tracks/0tTzNoGdANQHsFVOMaoU3u,https://api.spotify.com/v1/audio-analysis/0tTzNoGdANQHsFVOMaoU3u,229721,4
너 그럴때면...,2v7EWpGfDHaIaFfAJj5STT,0.335,0.762,7,-5.956,1,0.049,0.064,1.58e-05,0.106,0.174,183.457,audio_features,2v7EWpGfDHaIaFfAJj5STT,spotify:track:2v7EWpGfDHaIaFfAJj5STT,https://api.spotify.com/v1/tracks/2v7EWpGfDHaIaFfAJj5STT,https://api.spotify.com/v1/audio-analysis/2v7EWpGfDHaIaFfAJj5STT,231107,4
좋아 좋아,5ai4jQKivOWxyXMJRgHckI,0.786,0.681,4,-4.737,1,0.0246,0.125,0.0,0.207,0.968,94.415,audio_features,5ai4jQKivOWxyXMJRgHckI,spotify:track:5ai4jQKivOWxyXMJRgHckI,https://api.spotify.com/v1/tracks/5ai4jQKivOWxyXMJRgHckI,https://api.spotify.com/v1/audio-analysis/5ai4jQKivOWxyXMJRgHckI,210093,4
비와 당신의 이야기,6xdoj9Wun8O2Nj00v7fo0v,0.369,0.554,8,-5.349,1,0.0332,0.0942,3.03e-05,0.0873,0.0647,135.716,audio_features,6xdoj9Wun8O2Nj00v7fo0v,spotify:track:6xdoj9Wun8O2Nj00v7fo0v,https://api.spotify.com/v1/tracks/6xdoj9Wun8O2Nj00v7fo0v,https://api.spotify.com/v1/audio-analysis/6xdoj9Wun8O2Nj00v7fo0v,366373,4
내가 아니죠...,5Qkz2IAFkVebCP8hJtBI6K,0.528,0.384,0,-7.288,1,0.0277,0.422,0.0,0.12,0.305,141.73,audio_features,5Qkz2IAFkVebCP8hJtBI6K,spotify:track:5Qkz2IAFkVebCP8hJtBI6K,https://api.spotify.com/v1/tracks/5Qkz2IAFkVebCP8hJtBI6K,https://api.spotify.com/v1/audio-analysis/5Qkz2IAFkVebCP8hJtBI6K,233533,4
