title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Beauty in You ,3YS6FhKyUJY8sv8t5dGM90,0.619,0.64,7,-11.102,1,0.0528,0.86,0.0808,0.139,0.295,125.996,audio_features,3YS6FhKyUJY8sv8t5dGM90,spotify:track:3YS6FhKyUJY8sv8t5dGM90,https://api.spotify.com/v1/tracks/3YS6FhKyUJY8sv8t5dGM90,https://api.spotify.com/v1/audio-analysis/3YS6FhKyUJY8sv8t5dGM90,220952,4
Happy It Happened ,6cUWWwem9BnJ5hR4HD36tV,0.769,0.656,1,-11.186,1,0.0772,0.415,0.0321,0.163,0.196,121.935,audio_features,6cUWWwem9BnJ5hR4HD36tV,spotify:track:6cUWWwem9BnJ5hR4HD36tV,https://api.spotify.com/v1/tracks/6cUWWwem9BnJ5hR4HD36tV,https://api.spotify.com/v1/audio-analysis/6cUWWwem9BnJ5hR4HD36tV,127874,4
Lost In Time ,2LbNccpdI0HdgXKV1hOeov,0.515,0.801,3,-3.784,1,0.0681,0.135,0.0,0.828,0.2,128.035,audio_features,2LbNccpdI0HdgXKV1hOeov,spotify:track:2LbNccpdI0HdgXKV1hOeov,https://api.spotify.com/v1/tracks/2LbNccpdI0HdgXKV1hOeov,https://api.spotify.com/v1/audio-analysis/2LbNccpdI0HdgXKV1hOeov,193125,4
Let's Swing ,57H93YTHfPhp4gT4Zmua8u,0.9,0.593,5,-6.154,1,0.111,0.168,0.156,0.0341,0.962,123.991,audio_features,57H93YTHfPhp4gT4Zmua8u,spotify:track:57H93YTHfPhp4gT4Zmua8u,https://api.spotify.com/v1/tracks/57H93YTHfPhp4gT4Zmua8u,https://api.spotify.com/v1/audio-analysis/57H93YTHfPhp4gT4Zmua8u,251613,4
Take Me Away ,3dtzXoIttyrbtzRoh7G4MI,0.562,0.92,10,-6.019,0,0.0447,0.00496,0.0519,0.16,0.153,127.92,audio_features,3dtzXoIttyrbtzRoh7G4MI,spotify:track:3dtzXoIttyrbtzRoh7G4MI,https://api.spotify.com/v1/tracks/3dtzXoIttyrbtzRoh7G4MI,https://api.spotify.com/v1/audio-analysis/3dtzXoIttyrbtzRoh7G4MI,222469,4
My Humps ,46qaOrBu7pTMI9YsuNRzrN,0.673,0.928,6,-8.001,0,0.0384,0.0706,0.288,0.335,0.588,125.0,audio_features,46qaOrBu7pTMI9YsuNRzrN,spotify:track:46qaOrBu7pTMI9YsuNRzrN,https://api.spotify.com/v1/tracks/46qaOrBu7pTMI9YsuNRzrN,https://api.spotify.com/v1/audio-analysis/46qaOrBu7pTMI9YsuNRzrN,171000,4
Back and Forth ,1NK3uEHDgbaRxyA3FMxO96,0.778,0.901,1,-8.362,0,0.0478,0.00305,0.395,0.105,0.528,126.99,audio_features,1NK3uEHDgbaRxyA3FMxO96,spotify:track:1NK3uEHDgbaRxyA3FMxO96,https://api.spotify.com/v1/tracks/1NK3uEHDgbaRxyA3FMxO96,https://api.spotify.com/v1/audio-analysis/1NK3uEHDgbaRxyA3FMxO96,294810,4
Palladio ,2lGt2oy9eRAMGpDnyyVNEE,0.604,0.942,2,-5.032,1,0.0943,0.000775,0.8,0.193,0.0888,140.013,audio_features,2lGt2oy9eRAMGpDnyyVNEE,spotify:track:2lGt2oy9eRAMGpDnyyVNEE,https://api.spotify.com/v1/tracks/2lGt2oy9eRAMGpDnyyVNEE,https://api.spotify.com/v1/audio-analysis/2lGt2oy9eRAMGpDnyyVNEE,171429,3
Life is good ,2ZDw8Mj2QRrFbjx7sN95cb,0.759,0.439,2,-7.419,0,0.0415,0.275,0.63,0.134,0.245,80.036,audio_features,2ZDw8Mj2QRrFbjx7sN95cb,spotify:track:2ZDw8Mj2QRrFbjx7sN95cb,https://api.spotify.com/v1/tracks/2ZDw8Mj2QRrFbjx7sN95cb,https://api.spotify.com/v1/audio-analysis/2ZDw8Mj2QRrFbjx7sN95cb,147000,4
Human ,7vh307lQsMG2u2JNbs4aIt,0.523,0.771,0,-6.307,1,0.223,0.09,0.00185,0.598,0.449,135.095,audio_features,7vh307lQsMG2u2JNbs4aIt,spotify:track:7vh307lQsMG2u2JNbs4aIt,https://api.spotify.com/v1/tracks/7vh307lQsMG2u2JNbs4aIt,https://api.spotify.com/v1/audio-analysis/7vh307lQsMG2u2JNbs4aIt,198222,4
Over U ,0kBxyxUh9pQHCvPFPco9s3,0.583,0.793,6,-9.614,0,0.0336,0.215,0.598,0.131,0.0767,124.057,audio_features,0kBxyxUh9pQHCvPFPco9s3,spotify:track:0kBxyxUh9pQHCvPFPco9s3,https://api.spotify.com/v1/tracks/0kBxyxUh9pQHCvPFPco9s3,https://api.spotify.com/v1/audio-analysis/0kBxyxUh9pQHCvPFPco9s3,169355,3
Sweet but Psycho ,4tuAQKIOvR2y93N2b8zI9m,0.519,0.879,1,-4.463,1,0.106,0.000122,0.801,0.74,0.186,155.147,audio_features,4tuAQKIOvR2y93N2b8zI9m,spotify:track:4tuAQKIOvR2y93N2b8zI9m,https://api.spotify.com/v1/tracks/4tuAQKIOvR2y93N2b8zI9m,https://api.spotify.com/v1/audio-analysis/4tuAQKIOvR2y93N2b8zI9m,171983,4
Give It All to You,1edaOA6tN18A9TqlpddF5m,0.669,0.824,1,-5.585,1,0.0342,0.0665,0.0,0.0944,0.616,127.048,audio_features,1edaOA6tN18A9TqlpddF5m,spotify:track:1edaOA6tN18A9TqlpddF5m,https://api.spotify.com/v1/tracks/1edaOA6tN18A9TqlpddF5m,https://api.spotify.com/v1/audio-analysis/1edaOA6tN18A9TqlpddF5m,162992,4
